sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_description,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,patient,condition,tissue,tissue_source,project,raw_data_location,raw_data_id,assay,library_strategy,genome_build,supplementary_files_format_and_content,biosample
bukmap_20190529d_snare2-r,,,,,,,BUKMAP_20190529D_SNARE2-R,GSM5554405,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,total RNA,"Nuclei were isolated from cryosectioned tissues according to the following protocol: dx.doi.org/10.17504/protocols.io.ufketkw with the exception that 4',6-diamidino-2-phenylindole (DAPI) was excluded from the nuclear extraction buffer and only used to stain a subset of nuclei used for counting, SNARE-Seq2, as outlined (Nature Protocols, DOI:10.1038/s41596-021-00507-3), was performed according to the following protocol: dx.doi.org/10.17504/protocols.io.be5gjg3w, Dual RNA-Seq and ATAC-Seq","SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt","Basecalls were performed using NovaSeq Control Software v1.6.0, SNARE-Seq2 data was processed using the snarePip pipeline (github.com/huqiwen0313/snarePip), For RNA processing, AC contaminating reads were removed using cutadapt (version 3.1), For RNA processing, cell barcodes were extracted using dropEst (version 0.8.6), For RNA processing, STAR (v2.5.2b) was used to align tagged reads to the genome (GRCh38), For AC processing, snaptools (version v1.2.3) and minimap (version 2-2.20) were used fo ...",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,NONE,"GSE183273, GSE183279",0,GSM5554405,3494,Reference,Kidney Medulla,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM756.GZSH.268,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38),"Seurat object in R Data format, tabulated ATAC-seq captured fragments for each cell in BED-like format, raw RNA counts provided in RDS format, peak counts provided in RDS format, sample metadata table in txt format, and metadata field descriptions in txt format",https://www.ncbi.nlm.nih.gov/biosample/SAMN21206811
bukmap_20190529d_snare2-ac,,,,,,,BUKMAP_20190529D_SNARE2-AC,GSM5554406,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,genomic DNA,"Nuclei were isolated from cryosectioned tissues according to the following protocol: dx.doi.org/10.17504/protocols.io.ufketkw with the exception that 4',6-diamidino-2-phenylindole (DAPI) was excluded from the nuclear extraction buffer and only used to stain a subset of nuclei used for counting, SNARE-Seq2, as outlined (Nature Protocols, DOI:10.1038/s41596-021-00507-3), was performed according to the following protocol: dx.doi.org/10.17504/protocols.io.be5gjg3w, Dual RNA-Seq and ATAC-Seq","SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt","Basecalls were performed using NovaSeq Control Software v1.6.0, SNARE-Seq2 data was processed using the snarePip pipeline (github.com/huqiwen0313/snarePip), For RNA processing, AC contaminating reads were removed using cutadapt (version 3.1), For RNA processing, cell barcodes were extracted using dropEst (version 0.8.6), For RNA processing, STAR (v2.5.2b) was used to align tagged reads to the genome (GRCh38), For AC processing, snaptools (version v1.2.3) and minimap (version 2-2.20) were used fo ...",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,NONE,"GSE183273, GSE183279",0,GSM5554406,3494,Reference,Kidney Medulla,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM784.RVTS.872,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38),"Seurat object in R Data format, tabulated ATAC-seq captured fragments for each cell in BED-like format, raw RNA counts provided in RDS format, peak counts provided in RDS format, sample metadata table in txt format, and metadata field descriptions in txt format",https://www.ncbi.nlm.nih.gov/biosample/SAMN21206812
bukmap_20190529e_snare2-r,,,,,,,BUKMAP_20190529E_SNARE2-R,GSM5554407,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,total RNA,"Nuclei were isolated from cryosectioned tissues according to the following protocol: dx.doi.org/10.17504/protocols.io.ufketkw with the exception that 4',6-diamidino-2-phenylindole (DAPI) was excluded from the nuclear extraction buffer and only used to stain a subset of nuclei used for counting, SNARE-Seq2, as outlined (Nature Protocols, DOI:10.1038/s41596-021-00507-3), was performed according to the following protocol: dx.doi.org/10.17504/protocols.io.be5gjg3w, Dual RNA-Seq and ATAC-Seq","SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt","Basecalls were performed using NovaSeq Control Software v1.6.0, SNARE-Seq2 data was processed using the snarePip pipeline (github.com/huqiwen0313/snarePip), For RNA processing, AC contaminating reads were removed using cutadapt (version 3.1), For RNA processing, cell barcodes were extracted using dropEst (version 0.8.6), For RNA processing, STAR (v2.5.2b) was used to align tagged reads to the genome (GRCh38), For AC processing, snaptools (version v1.2.3) and minimap (version 2-2.20) were used fo ...",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,NONE,"GSE183273, GSE183279",0,GSM5554407,3494,Reference,Kidney Medulla,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM433.XXZF.683,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38),"Seurat object in R Data format, tabulated ATAC-seq captured fragments for each cell in BED-like format, raw RNA counts provided in RDS format, peak counts provided in RDS format, sample metadata table in txt format, and metadata field descriptions in txt format",https://www.ncbi.nlm.nih.gov/biosample/SAMN21206813
bukmap_20190529e_snare2-ac,,,,,,,BUKMAP_20190529E_SNARE2-AC,GSM5554408,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,genomic DNA,"Nuclei were isolated from cryosectioned tissues according to the following protocol: dx.doi.org/10.17504/protocols.io.ufketkw with the exception that 4',6-diamidino-2-phenylindole (DAPI) was excluded from the nuclear extraction buffer and only used to stain a subset of nuclei used for counting, SNARE-Seq2, as outlined (Nature Protocols, DOI:10.1038/s41596-021-00507-3), was performed according to the following protocol: dx.doi.org/10.17504/protocols.io.be5gjg3w, Dual RNA-Seq and ATAC-Seq","SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt","Basecalls were performed using NovaSeq Control Software v1.6.0, SNARE-Seq2 data was processed using the snarePip pipeline (github.com/huqiwen0313/snarePip), For RNA processing, AC contaminating reads were removed using cutadapt (version 3.1), For RNA processing, cell barcodes were extracted using dropEst (version 0.8.6), For RNA processing, STAR (v2.5.2b) was used to align tagged reads to the genome (GRCh38), For AC processing, snaptools (version v1.2.3) and minimap (version 2-2.20) were used fo ...",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,NONE,"GSE183273, GSE183279",0,GSM5554408,3494,Reference,Kidney Medulla,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM832.FZXR.449,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38),"Seurat object in R Data format, tabulated ATAC-seq captured fragments for each cell in BED-like format, raw RNA counts provided in RDS format, peak counts provided in RDS format, sample metadata table in txt format, and metadata field descriptions in txt format",https://www.ncbi.nlm.nih.gov/biosample/SAMN21206814
bukmap_20190529f_snare2-r,,,,,,,BUKMAP_20190529F_SNARE2-R,GSM5554409,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Cortex,Homo sapiens,9606,total RNA,"Nuclei were isolated from cryosectioned tissues according to the following protocol: dx.doi.org/10.17504/protocols.io.ufketkw with the exception that 4',6-diamidino-2-phenylindole (DAPI) was excluded from the nuclear extraction buffer and only used to stain a subset of nuclei used for counting, SNARE-Seq2, as outlined (Nature Protocols, DOI:10.1038/s41596-021-00507-3), was performed according to the following protocol: dx.doi.org/10.17504/protocols.io.be5gjg3w, Dual RNA-Seq and ATAC-Seq","SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt","Basecalls were performed using NovaSeq Control Software v1.6.0, SNARE-Seq2 data was processed using the snarePip pipeline (github.com/huqiwen0313/snarePip), For RNA processing, AC contaminating reads were removed using cutadapt (version 3.1), For RNA processing, cell barcodes were extracted using dropEst (version 0.8.6), For RNA processing, STAR (v2.5.2b) was used to align tagged reads to the genome (GRCh38), For AC processing, snaptools (version v1.2.3) and minimap (version 2-2.20) were used fo ...",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,NONE,"GSE183273, GSE183279",0,GSM5554409,3505,Reference,Kidney Cortex,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM425.ZCSZ.825,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38),"Seurat object in R Data format, tabulated ATAC-seq captured fragments for each cell in BED-like format, raw RNA counts provided in RDS format, peak counts provided in RDS format, sample metadata table in txt format, and metadata field descriptions in txt format",https://www.ncbi.nlm.nih.gov/biosample/SAMN21206815
bukmap_20190529f_snare2-ac,,,,,,,BUKMAP_20190529F_SNARE2-AC,GSM5554410,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Cortex,Homo sapiens,9606,genomic DNA,"Nuclei were isolated from cryosectioned tissues according to the following protocol: dx.doi.org/10.17504/protocols.io.ufketkw with the exception that 4',6-diamidino-2-phenylindole (DAPI) was excluded from the nuclear extraction buffer and only used to stain a subset of nuclei used for counting, SNARE-Seq2, as outlined (Nature Protocols, DOI:10.1038/s41596-021-00507-3), was performed according to the following protocol: dx.doi.org/10.17504/protocols.io.be5gjg3w, Dual RNA-Seq and ATAC-Seq","SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt","Basecalls were performed using NovaSeq Control Software v1.6.0, SNARE-Seq2 data was processed using the snarePip pipeline (github.com/huqiwen0313/snarePip), For RNA processing, AC contaminating reads were removed using cutadapt (version 3.1), For RNA processing, cell barcodes were extracted using dropEst (version 0.8.6), For RNA processing, STAR (v2.5.2b) was used to align tagged reads to the genome (GRCh38), For AC processing, snaptools (version v1.2.3) and minimap (version 2-2.20) were used fo ...",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,NONE,"GSE183273, GSE183279",0,GSM5554410,3505,Reference,Kidney Cortex,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM742.SLJJ.558,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38),"Seurat object in R Data format, tabulated ATAC-seq captured fragments for each cell in BED-like format, raw RNA counts provided in RDS format, peak counts provided in RDS format, sample metadata table in txt format, and metadata field descriptions in txt format",https://www.ncbi.nlm.nih.gov/biosample/SAMN21206816
bukmap_20190529g_snare2-r,,,,,,,BUKMAP_20190529G_SNARE2-R,GSM5554411,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Cortex,Homo sapiens,9606,total RNA,"Nuclei were isolated from cryosectioned tissues according to the following protocol: dx.doi.org/10.17504/protocols.io.ufketkw with the exception that 4',6-diamidino-2-phenylindole (DAPI) was excluded from the nuclear extraction buffer and only used to stain a subset of nuclei used for counting, SNARE-Seq2, as outlined (Nature Protocols, DOI:10.1038/s41596-021-00507-3), was performed according to the following protocol: dx.doi.org/10.17504/protocols.io.be5gjg3w, Dual RNA-Seq and ATAC-Seq","SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt","Basecalls were performed using NovaSeq Control Software v1.6.0, SNARE-Seq2 data was processed using the snarePip pipeline (github.com/huqiwen0313/snarePip), For RNA processing, AC contaminating reads were removed using cutadapt (version 3.1), For RNA processing, cell barcodes were extracted using dropEst (version 0.8.6), For RNA processing, STAR (v2.5.2b) was used to align tagged reads to the genome (GRCh38), For AC processing, snaptools (version v1.2.3) and minimap (version 2-2.20) were used fo ...",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,NONE,"GSE183273, GSE183279",0,GSM5554411,3505,Reference,Kidney Cortex,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM673.WGZS.593,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38),"Seurat object in R Data format, tabulated ATAC-seq captured fragments for each cell in BED-like format, raw RNA counts provided in RDS format, peak counts provided in RDS format, sample metadata table in txt format, and metadata field descriptions in txt format",https://www.ncbi.nlm.nih.gov/biosample/SAMN21206817
bukmap_20190529g_snare2-ac,,,,,,,BUKMAP_20190529G_SNARE2-AC,GSM5554412,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Cortex,Homo sapiens,9606,genomic DNA,"Nuclei were isolated from cryosectioned tissues according to the following protocol: dx.doi.org/10.17504/protocols.io.ufketkw with the exception that 4',6-diamidino-2-phenylindole (DAPI) was excluded from the nuclear extraction buffer and only used to stain a subset of nuclei used for counting, SNARE-Seq2, as outlined (Nature Protocols, DOI:10.1038/s41596-021-00507-3), was performed according to the following protocol: dx.doi.org/10.17504/protocols.io.be5gjg3w, Dual RNA-Seq and ATAC-Seq","SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt","Basecalls were performed using NovaSeq Control Software v1.6.0, SNARE-Seq2 data was processed using the snarePip pipeline (github.com/huqiwen0313/snarePip), For RNA processing, AC contaminating reads were removed using cutadapt (version 3.1), For RNA processing, cell barcodes were extracted using dropEst (version 0.8.6), For RNA processing, STAR (v2.5.2b) was used to align tagged reads to the genome (GRCh38), For AC processing, snaptools (version v1.2.3) and minimap (version 2-2.20) were used fo ...",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,NONE,"GSE183273, GSE183279",0,GSM5554412,3505,Reference,Kidney Cortex,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM455.ZPNN.623,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38),"Seurat object in R Data format, tabulated ATAC-seq captured fragments for each cell in BED-like format, raw RNA counts provided in RDS format, peak counts provided in RDS format, sample metadata table in txt format, and metadata field descriptions in txt format",https://www.ncbi.nlm.nih.gov/biosample/SAMN21206818
bukmap_20190822a_snare2-r,,,,,,,BUKMAP_20190822A_SNARE2-R,GSM5554413,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,total RNA,"Nuclei were isolated from cryosectioned tissues according to the following protocol: dx.doi.org/10.17504/protocols.io.ufketkw with the exception that 4',6-diamidino-2-phenylindole (DAPI) was excluded from the nuclear extraction buffer and only used to stain a subset of nuclei used for counting, SNARE-Seq2, as outlined (Nature Protocols, DOI:10.1038/s41596-021-00507-3), was performed according to the following protocol: dx.doi.org/10.17504/protocols.io.be5gjg3w, Dual RNA-Seq and ATAC-Seq","SNARE2 RNA-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA_Counts_08042021.RDS, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt","Basecalls were performed using NovaSeq Control Software v1.6.0, SNARE-Seq2 data was processed using the snarePip pipeline (github.com/huqiwen0313/snarePip), For RNA processing, AC contaminating reads were removed using cutadapt (version 3.1), For RNA processing, cell barcodes were extracted using dropEst (version 0.8.6), For RNA processing, STAR (v2.5.2b) was used to align tagged reads to the genome (GRCh38), For AC processing, snaptools (version v1.2.3) and minimap (version 2-2.20) were used fo ...",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,transcriptomic,OTHER,NONE,"GSE183273, GSE183279",0,GSM5554413,3499,Reference,Kidney Medulla,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM947.VDBQ.325,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38),"Seurat object in R Data format, tabulated ATAC-seq captured fragments for each cell in BED-like format, raw RNA counts provided in RDS format, peak counts provided in RDS format, sample metadata table in txt format, and metadata field descriptions in txt format",https://www.ncbi.nlm.nih.gov/biosample/SAMN21206819
bukmap_20190822a_snare2-ac,,,,,,,BUKMAP_20190822A_SNARE2-AC,GSM5554414,Public on Oct 10 2022,Sep 02 2021,Oct 10 2022,SRA,1,Kidney Medulla,Homo sapiens,9606,genomic DNA,"Nuclei were isolated from cryosectioned tissues according to the following protocol: dx.doi.org/10.17504/protocols.io.ufketkw with the exception that 4',6-diamidino-2-phenylindole (DAPI) was excluded from the nuclear extraction buffer and only used to stain a subset of nuclei used for counting, SNARE-Seq2, as outlined (Nature Protocols, DOI:10.1038/s41596-021-00507-3), was performed according to the following protocol: dx.doi.org/10.17504/protocols.io.be5gjg3w, Dual RNA-Seq and ATAC-Seq","SNARE2 ATAC-Seq, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Seurat_08042021.rda, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-AC_Peak-Counts_08042021.RDS, BUKMAP.fragments.sort.tsv.gz, BUKMAP.fragments.sort.tsv.gz.tbi, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_08042021.txt, Kidney_Healthy-Injury_Cell_Atlas_SNARE2-RNA-AC_Metadata_Field_Descriptions.txt","Basecalls were performed using NovaSeq Control Software v1.6.0, SNARE-Seq2 data was processed using the snarePip pipeline (github.com/huqiwen0313/snarePip), For RNA processing, AC contaminating reads were removed using cutadapt (version 3.1), For RNA processing, cell barcodes were extracted using dropEst (version 0.8.6), For RNA processing, STAR (v2.5.2b) was used to align tagged reads to the genome (GRCh38), For AC processing, snaptools (version v1.2.3) and minimap (version 2-2.20) were used fo ...",GPL24676,"Kun,,Zhang",UCSD,9500 Gilman Drive,La Jolla,California,92093,USA,Illumina NovaSeq 6000,other,genomic,OTHER,NONE,"GSE183273, GSE183279",0,GSM5554414,3499,Reference,Kidney Medulla,Deceased Donor,HuBMAP,portal.hubmapconsortium.org,HBM663.MJVD.335,SNARE-Seq2,SNARE-Seq2,GRCh38 (hg38),"Seurat object in R Data format, tabulated ATAC-seq captured fragments for each cell in BED-like format, raw RNA counts provided in RDS format, peak counts provided in RDS format, sample metadata table in txt format, and metadata field descriptions in txt format",https://www.ncbi.nlm.nih.gov/biosample/SAMN21206820
