sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_description,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,cell_type,tissue,strain,age,assembly,biosample,sra
chronic_kidney_disease_ckd_1_snatacseq,,,,,,,"Chronic Kidney Disease, CKD_1, snATACseq",GSM7321069,Public on Jan 05 2024,May 10 2023,Jan 05 2024,SRA,1,Kidney cortex,Homo sapiens,9606,genomic DNA,"genomic DNA, 10x Genomics Single Cell ATAC v1",GPL24676,"Parker,,Wilson",parker.wilson@pennmedicine.upenn.edu,713B Stellar Chance,Pathology and Laboratory Medicine,University of Pennsylvania,422 Curie Blvd,Philadelphia,PA,19104,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7321069,NONE,GSE232222,0,SRX20282296,Kidney cells,Kidney cortex,Female,54,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN35027743,https://www.ncbi.nlm.nih.gov/sra?term=SRX20282296
chronic_kidney_disease_ckd_2_snatacseq,,,,,,,"Chronic Kidney Disease, CKD_2, snATACseq",GSM7321070,Public on Jan 05 2024,May 10 2023,Jan 05 2024,SRA,1,Kidney cortex,Homo sapiens,9606,genomic DNA,"genomic DNA, 10x Genomics Single Cell ATAC v1",GPL24676,"Parker,,Wilson",parker.wilson@pennmedicine.upenn.edu,713B Stellar Chance,Pathology and Laboratory Medicine,University of Pennsylvania,422 Curie Blvd,Philadelphia,PA,19104,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7321070,NONE,GSE232222,0,SRX20282298,Kidney cells,Kidney cortex,Male,58,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN35027742,https://www.ncbi.nlm.nih.gov/sra?term=SRX20282298
chronic_kidney_disease_ckd_3_snatacseq,,,,,,,"Chronic Kidney Disease, CKD_3, snATACseq",GSM7321071,Public on Jan 05 2024,May 10 2023,Jan 05 2024,SRA,1,Kidney cortex,Homo sapiens,9606,genomic DNA,"genomic DNA, 10x Genomics Single Cell ATAC v1",GPL24676,"Parker,,Wilson",parker.wilson@pennmedicine.upenn.edu,713B Stellar Chance,Pathology and Laboratory Medicine,University of Pennsylvania,422 Curie Blvd,Philadelphia,PA,19104,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7321071,NONE,GSE232222,0,SRX20282299,Kidney cells,Kidney cortex,Male,57,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN35027741,https://www.ncbi.nlm.nih.gov/sra?term=SRX20282299
chronic_kidney_disease_ckd_4_snatacseq,,,,,,,"Chronic Kidney Disease, CKD_4, snATACseq",GSM7321072,Public on Jan 05 2024,May 10 2023,Jan 05 2024,SRA,1,Kidney cortex,Homo sapiens,9606,genomic DNA,"genomic DNA, 10x Genomics Single Cell ATAC v1",GPL24676,"Parker,,Wilson",parker.wilson@pennmedicine.upenn.edu,713B Stellar Chance,Pathology and Laboratory Medicine,University of Pennsylvania,422 Curie Blvd,Philadelphia,PA,19104,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7321072,NONE,GSE232222,0,SRX20282300,Kidney cells,Kidney cortex,Male,67,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN35027740,https://www.ncbi.nlm.nih.gov/sra?term=SRX20282300
chronic_kidney_disease_ckd_5_snatacseq,,,,,,,"Chronic Kidney Disease, CKD_5, snATACseq",GSM7321073,Public on Jan 05 2024,May 10 2023,Jan 05 2024,SRA,1,Kidney cortex,Homo sapiens,9606,genomic DNA,"genomic DNA, 10x Genomics Single Cell ATAC v1",GPL24676,"Parker,,Wilson",parker.wilson@pennmedicine.upenn.edu,713B Stellar Chance,Pathology and Laboratory Medicine,University of Pennsylvania,422 Curie Blvd,Philadelphia,PA,19104,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7321073,NONE,GSE232222,0,SRX20282301,Kidney cells,Kidney cortex,Female,41,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN35027739,https://www.ncbi.nlm.nih.gov/sra?term=SRX20282301
chronic_kidney_disease_090922nx_multiome_rna,,,,,,,"Chronic Kidney Disease, 090922Nx, Multiome RNA",GSM7321074,Public on Jan 05 2024,May 10 2023,Jan 05 2024,SRA,1,Kidney cortex,Homo sapiens,9606,total RNA,"nuclear RNA, 10x Genomics Single Cell Multiome ATAC + Gene Expression",GPL24676,"Parker,,Wilson",parker.wilson@pennmedicine.upenn.edu,713B Stellar Chance,Pathology and Laboratory Medicine,University of Pennsylvania,422 Curie Blvd,Philadelphia,PA,19104,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7321074,NONE,GSE232222,0,SRX20282302,Kidney cells,Kidney cortex,Male,51,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN35027738,https://www.ncbi.nlm.nih.gov/sra?term=SRX20282302
chronic_kidney_disease_090922nx_multiome_atac,,,,,,,"Chronic Kidney Disease, 090922Nx, Multiome ATAC",GSM7321075,Public on Jan 05 2024,May 10 2023,Jan 05 2024,SRA,1,Kidney cortex,Homo sapiens,9606,genomic DNA,"genomic DNA, 10x Genomics Single Cell Multiome ATAC + Gene Expression",GPL24676,"Parker,,Wilson",parker.wilson@pennmedicine.upenn.edu,713B Stellar Chance,Pathology and Laboratory Medicine,University of Pennsylvania,422 Curie Blvd,Philadelphia,PA,19104,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7321075,NONE,GSE232222,0,SRX20282303,Kidney cells,Kidney cortex,Male,51,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN35027737,https://www.ncbi.nlm.nih.gov/sra?term=SRX20282303
chronic_kidney_disease_091422nx_multiome_rna,,,,,,,"Chronic Kidney Disease, 091422Nx, Multiome RNA",GSM7321076,Public on Jan 05 2024,May 10 2023,Jan 05 2024,SRA,1,Kidney cortex,Homo sapiens,9606,total RNA,"nuclear RNA, 10x Genomics Single Cell Multiome ATAC + Gene Expression",GPL24676,"Parker,,Wilson",parker.wilson@pennmedicine.upenn.edu,713B Stellar Chance,Pathology and Laboratory Medicine,University of Pennsylvania,422 Curie Blvd,Philadelphia,PA,19104,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7321076,NONE,GSE232222,0,SRX20282304,Kidney cells,Kidney cortex,Male,91,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN35027736,https://www.ncbi.nlm.nih.gov/sra?term=SRX20282304
chronic_kidney_disease_091422nx_multiome_atac,,,,,,,"Chronic Kidney Disease, 091422Nx, Multiome ATAC",GSM7321077,Public on Jan 05 2024,May 10 2023,Jan 05 2024,SRA,1,Kidney cortex,Homo sapiens,9606,genomic DNA,"genomic DNA, 10x Genomics Single Cell Multiome ATAC + Gene Expression",GPL24676,"Parker,,Wilson",parker.wilson@pennmedicine.upenn.edu,713B Stellar Chance,Pathology and Laboratory Medicine,University of Pennsylvania,422 Curie Blvd,Philadelphia,PA,19104,USA,Illumina NovaSeq 6000,other,genomic,ATAC-seq,GSM7321077,NONE,GSE232222,0,SRX20282305,Kidney cells,Kidney cortex,Male,91,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN35027735,https://www.ncbi.nlm.nih.gov/sra?term=SRX20282305
control_aiim164_multiome_rna,,,,,,,"Control, AIIM164, Multiome RNA",GSM7321078,Public on Jan 05 2024,May 10 2023,Jan 05 2024,SRA,1,Kidney cortex,Homo sapiens,9606,total RNA,"nuclear RNA, 10x Genomics Single Cell Multiome ATAC + Gene Expression",GPL24676,"Parker,,Wilson",parker.wilson@pennmedicine.upenn.edu,713B Stellar Chance,Pathology and Laboratory Medicine,University of Pennsylvania,422 Curie Blvd,Philadelphia,PA,19104,USA,Illumina NovaSeq 6000,cDNA,transcriptomic single cell,RNA-Seq,GSM7321078,NONE,GSE232222,0,SRX20282306,Kidney cells,Kidney cortex,Female,46,GRCh38,https://www.ncbi.nlm.nih.gov/biosample/SAMN35027734,https://www.ncbi.nlm.nih.gov/sra?term=SRX20282306
