sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_molecule_ch1,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_laboratory,sample_contact_department,sample_contact_institute,sample_contact_address,sample_contact_city,sample_contact_state,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,tissue,cell_type,assembly,supplementary_files_format_and_content,biosample,sra
cw001_hiv_b07_gpgh_1yr,,,,,,,CW001_HIV_B07_GPGH_1yr,GSM7646215,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646215,NONE,GSE237729,0,SRX21077881,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593081,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077881
cw001_hiv_b07_gpgh_baseline,,,,,,,CW001_HIV_B07_GPGH_baseline,GSM7646216,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646216,NONE,GSE237729,0,SRX21077882,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593080,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077882
cw001_naive_1yr,,,,,,,CW001_Naive_1yr,GSM7646217,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646217,NONE,GSE237729,0,SRX21077883,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593078,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077883
cw001_naive_baseline,,,,,,,CW001_Naive_baseline,GSM7646218,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646218,NONE,GSE237729,0,SRX21077884,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593077,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077884
cw006_hiv_b07_gpgh_1yr,,,,,,,CW006_HIV_B07_GPGH_1yr,GSM7646219,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646219,NONE,GSE237729,0,SRX21077885,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593076,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077885
cw006_hiv_b07_gpgh_baseline,,,,,,,CW006_HIV_B07_GPGH_baseline,GSM7646220,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646220,NONE,GSE237729,0,SRX21077886,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593074,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077886
cw006_naive_1yr,,,,,,,CW006_Naive_1yr,GSM7646221,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646221,NONE,GSE237729,0,SRX21077887,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593073,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077887
cw006_naive_baseline,,,,,,,CW006_Naive_baseline,GSM7646222,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646222,NONE,GSE237729,0,SRX21077888,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593071,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077888
saq038001_hiv_a03_rlrp_baseline,,,,,,,SAQ038001_HIV_A03_RLRP_baseline,GSM7646223,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646223,NONE,GSE237729,0,SRX21077889,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593070,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077889
saq038001_naive_baseline,,,,,,,SAQ038001_Naive_baseline,GSM7646224,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646224,NONE,GSE237729,0,SRX21077890,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593069,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077890
sax032001_hiv_a03_rlrp_1yr,,,,,,,SAX032001_HIV_A03_RLRP_1yr,GSM7646225,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646225,NONE,GSE237729,0,SRX21077891,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593067,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077891
sax032001_hiv_a03_rlrp_baseline,,,,,,,SAX032001_HIV_A03_RLRP_baseline,GSM7646226,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646226,NONE,GSE237729,0,SRX21077892,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593066,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077892
sax032001_hiv_b07_gpgh_1yr,,,,,,,SAX032001_HIV_B07_GPGH_1yr,GSM7646227,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646227,NONE,GSE237729,0,SRX21077893,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593065,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077893
sax032001_hiv_b07_gpgh_baseline,,,,,,,SAX032001_HIV_B07_GPGH_baseline,GSM7646228,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646228,NONE,GSE237729,0,SRX21077894,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593063,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077894
sax032001_naive_1yr,,,,,,,SAX032001_Naive_1yr,GSM7646229,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646229,NONE,GSE237729,0,SRX21077895,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593062,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077895
sax032001_naive_baseline,,,,,,,SAX032001_Naive_baseline,GSM7646230,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646230,NONE,GSE237729,0,SRX21077896,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593061,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077896
st001_hiv_b57_tstl_1yr,,,,,,,ST001_HIV_B57_TSTL_1yr,GSM7646231,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646231,NONE,GSE237729,0,SRX21077897,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593059,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077897
st001_hiv_b57_tstl_baseline,,,,,,,ST001_HIV_B57_TSTL_baseline,GSM7646232,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646232,NONE,GSE237729,0,SRX21077898,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593058,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077898
st001_naive_1yr,,,,,,,ST001_Naive_1yr,GSM7646233,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646233,NONE,GSE237729,0,SRX21077899,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593057,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077899
st001_naive_baseline,,,,,,,ST001_Naive_baseline,GSM7646234,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646234,NONE,GSE237729,0,SRX21077900,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593055,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077900
st003_hiv_b57_kafs_1yr,,,,,,,ST003_HIV_B57_KAFS_1yr,GSM7646235,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646235,NONE,GSE237729,0,SRX21077901,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593054,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077901
st003_hiv_b57_kafs_baseline,,,,,,,ST003_HIV_B57_KAFS_baseline,GSM7646236,Public on Jul 19 2023,Jul 19 2023,Jul 19 2023,SRA,1,blood,Homo sapiens,9606,genomic DNA,GPL18573,"Debattama,R,Sen",dsen@mgh.harvard.edu,Sen Lab,Cancer Center,MGH/Harvard,"149 13th St, 7.219",Charlestown,MA,02129,USA,Illumina NextSeq 500,other,genomic,ATAC-seq,GSM7646236,NONE,GSE237729,0,SRX21077902,blood,sorted CD8+ T cells,hg19,raw countsDESeq2-normalized counts,https://www.ncbi.nlm.nih.gov/biosample/SAMN36593053,https://www.ncbi.nlm.nih.gov/sra?term=SRX21077902
