sample_name,protocol,organism,read_type,data_source,srr,srx,sample_title,sample_geo_accession,sample_status,sample_submission_date,sample_last_update_date,sample_type,sample_channel_count,sample_source_name_ch1,sample_organism_ch1,sample_taxid_ch1,sample_growth_protocol_ch1,sample_molecule_ch1,sample_extract_protocol_ch1,sample_data_processing,sample_platform_id,sample_contact_name,sample_contact_email,sample_contact_institute,sample_contact_city,sample_contact_zip_postal_code,sample_contact_country,sample_instrument_model,sample_library_selection,sample_library_source,sample_library_strategy,gsm_id,sample_supplementary_file_1,sample_series_id,sample_data_row_count,big_key,cell_line,cell_type,assembly,supplementary_files_format_and_content,biosample,sra
stb-cebpb_chip-seq_rep1,,,,,,,"STB-CEBPB, ChIP-seq, rep1",GSM7882463,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,STB-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL16791,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM7882463,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882463/suppl/GSM7882463_STB_CEBPB1_vs_STB_IgG_peaks.narrowPeak.gz,"GSE247035, GSE247038",0,SRX22373889,STB-BL,hTSC derived syncytiotrophoblast cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107889,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373889
stb-cebpb_chip-seq_rep2,,,,,,,"STB-CEBPB, ChIP-seq, rep2",GSM7882464,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,STB-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL16791,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM7882464,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882464/suppl/GSM7882464_STB_CEBPB2_vs_STB_IgG_peaks.narrowPeak.gz,"GSE247035, GSE247038",0,SRX22373890,STB-BL,hTSC derived syncytiotrophoblast cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107888,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373890
stb-igg_chip-seq_control,,,,,,,"STB-IgG, ChIP-seq, control",GSM7882465,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,STB-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL16791,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM7882465,NONE,"GSE247035, GSE247038",0,SRX22373891,STB-BL,hTSC derived syncytiotrophoblast cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107887,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373891
stb-input_chip-seq_control,,,,,,,"STB-Input, ChIP-seq, control",GSM7882466,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,STB-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL16791,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM7882466,NONE,"GSE247035, GSE247038",0,SRX22373892,STB-BL,hTSC derived syncytiotrophoblast cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107886,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373892
htsc-bl-cebpb_chip-seq_rep1,,,,,,,"hTSC-BL-CEBPB, ChIP-seq, rep1",GSM7882467,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,hTSC-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL16791,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM7882467,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882467/suppl/GSM7882467_TS_CEBPB1_vs_TS_IgG_peaks.narrowPeak.gz,"GSE247035, GSE247038",0,SRX22373893,hTSC-BL,human trophoblast stem cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107885,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373893
htsc-bl-cebpb_chip-seq_rep2,,,,,,,"hTSC-BL-CEBPB, ChIP-seq, rep2",GSM7882468,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,hTSC-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL16791,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM7882468,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882468/suppl/GSM7882468_TS_CEBPB2_vs_TS_IgG_peaks.narrowPeak.gz,"GSE247035, GSE247038",0,SRX22373894,hTSC-BL,human trophoblast stem cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107884,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373894
htsc-bl-igg_chip-seq_control,,,,,,,"hTSC-BL-IgG, ChIP-seq, control",GSM7882469,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,hTSC-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL16791,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM7882469,NONE,"GSE247035, GSE247038",0,SRX22373895,hTSC-BL,human trophoblast stem cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107883,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373895
htsc-bl-input_chip-seq_control,,,,,,,"hTSC-BL-Input, ChIP-seq, control",GSM7882470,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,hTSC-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL16791,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina HiSeq 2500,ChIP,genomic,ChIP-Seq,GSM7882470,NONE,"GSE247035, GSE247038",0,SRX22373896,hTSC-BL,human trophoblast stem cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107882,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373896
stb-cebpb_cut_tag_rep1,,,,,,,"STB-CEBPB, CUT&TAG, rep1",GSM7882471,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,STB-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic,OTHER,GSM7882471,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882471/suppl/GSM7882471_CS1_vs_IgG_peaks.narrowPeak.gz,"GSE247035, GSE247038",0,SRX22373897,STB-BL,hTSC derived syncytiotrophoblast cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107881,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373897
stb-cebpb_cut_tag_rep2,,,,,,,"STB-CEBPB, CUT&TAG, rep2",GSM7882472,Public on Nov 08 2023,Nov 05 2023,Nov 08 2023,SRA,1,STB-BL,Homo sapiens,9606,"The culture of human trophoblast stem cell lines was performed as previously described. Briefly, the plate was coated with 5 μg/ml Collagen I (Cat#354233, Corning) at 37℃ at least for 1 h. hTSCs were cultured in hTSCs medium (DMEM/F12 supplemented with 0.1 mM 2-mercaptoethanol, 0.2% FBS, 0.5% Penicillin-Streptomycin, 0.3% BSA, 1% ITS-X supplement, 1.5 μg/ml L-ascorbic acid, 50 ng/ml EGF, 2 μM CHIR99021, 0.5 μM A83-01, 1 μM SB431542, 0.8 mM VPA and 5 μM Y27632). hTSCs were dissociated with TrypLE ...",genomic DNA,"For ChIP-seq sample extraction, hTSCs-BL and STB-BL cells were dissociated with TrypLE for 8 min at 37℃ and washed with phosphate buffer solution for 3 times. About 5 × 106 cells were used for cross-linking by 1% formaldehyde. After rotating at room temperature for 10 min, the crosslinking was quenched by 125 mM Glycine and rotated for 10 min at room temperature. The crosslinked cells were quick-froze with liquid N2., For CUT&Tag sample extraction, STB-BL cells were dissociated with TrypLE for 8 ...","We used FastQC v0.11.9 to estimate the quality of fastq files and trim_galore v0.6.7 to filter low quality reads if necessary., We applied bowtie2 (v2.4.2) with default parameters for raw fastq reads mapping to human (hg38) reference genome and used MACS2 to call peaks for CUT&Tag and ChIP-seq datasets. We used the ‘reduce’ function from the R package GenomicRanges for merge of peaks of each replications. Then we intersected and counted overlap peaks from CUT&Tag and previous eGRN  peaks which w ...",GPL24676,"Hongmei,,Wang",wanghm@ioz.ac.cn,"INSTITUTE OF ZOOLOGY, CHINESE ACADEMY OF SCIENCES",Beijing,100101,China,Illumina NovaSeq 6000,other,genomic,OTHER,GSM7882472,ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM7882nnn/GSM7882472/suppl/GSM7882472_CS2_vs_IgG_peaks.narrowPeak.gz,"GSE247035, GSE247038",0,SRX22373898,STB-BL,hTSC derived syncytiotrophoblast cell,hg38,narrowPeak (except for IgG and input),https://www.ncbi.nlm.nih.gov/biosample/SAMN38107880,https://www.ncbi.nlm.nih.gov/sra?term=SRX22373898
